"No.","Time","Source","Destination","Protocol","Length","Info"
"635","3.281290544","192.168.10.10","192.168.20.10","SSHv2","111","Client: Protocol (SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16)"
"662","3.312026937","192.168.20.10","192.168.10.10","SSHv2","111","Server: Protocol (SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16)"
"668","3.312400120","192.168.10.10","192.168.20.10","TCP","1516","50448  >  22 [ACK] Seq=44 Ack=44 Win=64256 Len=1448 TSval=3119027419 TSecr=3568778813 [TCP PDU reassembled in 670]"
"670","3.312403980","192.168.10.10","192.168.20.10","SSHv2","156","Client: Key Exchange Init"
"708","3.361450304","192.168.20.10","192.168.10.10","SSHv2","1188","Server: Key Exchange Init"
"797","3.582174132","192.168.10.10","192.168.20.10","SSHv2","1276","Client: Diffie-Hellman Key Exchange Init"
"820","3.614896921","192.168.20.10","192.168.10.10","SSHv2","1516","Server: Diffie-Hellman Key Exchange Reply, New Keys, Encrypted packet (len=200)"
"822","3.614899661","192.168.20.10","192.168.10.10","SSHv2","152","Server: Encrypted packet (len=84)"
"841","3.630527250","192.168.10.10","192.168.20.10","SSHv2","152","Client: New Keys, Encrypted packet (len=68)"
"942","3.845894458","192.168.10.10","192.168.20.10","SSHv2","112","Client: Encrypted packet (len=44)"
"1031","4.069417028","192.168.20.10","192.168.10.10","SSHv2","112","Server: Encrypted packet (len=44)"
"1037","4.069563419","192.168.10.10","192.168.20.10","SSHv2","136","Client: Encrypted packet (len=68)"
"1066","4.095389995","192.168.20.10","192.168.10.10","SSHv2","332","Server: Encrypted packet (len=264)"
"1070","4.095615007","192.168.10.10","192.168.20.10","SSHv2","208","Client: Encrypted packet (len=140)"
"1078","4.111956291","192.168.20.10","192.168.10.10","SSHv2","168","Server: Encrypted packet (len=100)"
"1082","4.112540276","192.168.10.10","192.168.20.10","SSHv2","376","Client: Encrypted packet (len=308)"
"1098","4.141416835","192.168.20.10","192.168.10.10","SSHv2","96","Server: Encrypted packet (len=28)"
"1102","4.141632887","192.168.10.10","192.168.20.10","SSHv2","180","Client: Encrypted packet (len=112)"
"1217","4.314791384","192.168.20.10","192.168.10.10","SSHv2","844","Server: Encrypted packet (len=776)"
"1246","4.362977550","192.168.20.10","192.168.10.10","SSHv2","260","Server: Encrypted packet (len=192)"
"1252","4.363180702","192.168.10.10","192.168.20.10","SSHv2","520","Client: Encrypted packet (len=452)"
"1271","4.379638087","192.168.20.10","192.168.10.10","SSHv2","176","Server: Encrypted packet (len=108)"
"1280","4.381378190","192.168.20.10","192.168.10.10","SSHv2","656","Server: Encrypted packet (len=588)"
"1293","4.386845321","192.168.20.10","192.168.10.10","SSHv2","136","Server: Encrypted packet (len=68)"
"2166","6.717505251","192.168.10.10","192.168.20.10","SSHv2","104","Client: Encrypted packet (len=36)"
"2174","6.727254055","192.168.20.10","192.168.10.10","SSHv2","112","Server: Encrypted packet (len=44)"
"2182","6.728159192","192.168.20.10","192.168.10.10","SSHv2","244","Server: Encrypted packet (len=176)"
"2188","6.728344063","192.168.10.10","192.168.20.10","SSHv2","104","Client: Encrypted packet (len=36)"
"2190","6.728354573","192.168.10.10","192.168.20.10","SSHv2","128","Client: Encrypted packet (len=60)"
